# Posterior probabilities of HI were assessed using the estimated fraction of haploinsufficient genes as prior (24%), thus some genes may have less observed PTVs that expected and even though have a low posterior probability.
# name = HGNC symbol
# posterior = posterior of being intolerant to PTVs 
# observedtruncationcount = number of PTVs in the gene
# expectedtruncationcount = number of expected PTVs in the gene as a function of its de novo mutation rate and number of synonymous mutations
name posterior observedtruncationcount expectedtruncationcount
SUSD2 1.4353640818014243E-6 11 11.292213266422518
KIAA1683 1.4396533579176275E-6 12 15.884471414824889
VILL 1.4843670926336181E-6 11 11.397867324330026
SPAM1 1.5032371331207301E-6 10 6.854757803989651
LAMA2 1.512216995250846E-6 18 43.536440351468414
HRG 1.516941102253141E-6 10 6.883319388822297
POP1 1.5232909941826993E-6 12 16.062200766463157
SLC26A10 1.5484585843994904E-6 10 6.948040392583469
ALDH1L2 1.569630986444195E-6 11 11.573649489362206
TYRP1 1.583519953795126E-6 10 7.018508691424286
SPATC1 1.602379002183435E-6 10 7.055770026297147
GBP5 1.6592283267665155E-6 10 7.165494421548701
NAPRT1 1.6693701416050096E-6 10 7.184673211487475
SI 1.6932842561953796E-6 14 25.560907681747906
KRTAP5-5 1.7082067490146749E-6 9 2.6741863760998683
CNTLN 1.732822817311511E-6 13 21.050685327477304
LTV1 1.7578484553493425E-6 10 7.3472120508377134
CCDC144NL 1.7581127258276243E-6 9 2.764817967057911
SYDE2 1.8225120921443388E-6 12 16.62664273079929
FAM71A 1.8434359061553613E-6 10 7.49683565457701
TTLL3 1.8496345226220003E-6 11 12.090267948425879
ENPP3 1.861147619322062E-6 11 12.109797566997557
UGT1A7 1.888833154791553E-6 10 7.573403016683406
PRAM1 1.95465185179513E-6 10 7.681206364959701
PRDM7 1.995186133033903E-6 10 7.745805122640057
PCDHAC1 1.9995427490952794E-6 11 12.335537125175327
SLCO1B3 2.1173144111031075E-6 10 7.932788819914045
SLC6A20 2.1229311841971644E-6 10 7.941126820286549
TMC2 2.1380652362908025E-6 11 12.546350927498096
ODF2L 2.1575122289176895E-6 10 7.991980758972729
FAM184A 2.165718678018671E-6 12 17.16966365831214
SLC10A1 2.1863806430345553E-6 9 3.450946268795571
OR2T2 2.1944697169639677E-6 9 3.462568959961841
RNPEP 2.222810870391882E-6 10 8.085822486117253
C6orf170 2.323873197606188E-6 12 17.3914936824209
RARS2 2.328954177298233E-6 10 8.232633072149643
ITGA10 2.331401460310969E-6 12 17.401672930847376
LAMB4 2.3658871988197043E-6 13 22.030753325965463
JMJD7-PLA2G4B 2.424937809718657E-6 11 12.942608248617544
MASP2 2.446029135898115E-6 10 8.386996746328197
SIGLEC1 2.465565140375481E-6 13 22.160635307764483
OR52M1 2.465911930480838E-6 9 3.8296091424787173
ABCA5 2.4805611576186187E-6 13 22.179719685397252
SOAT2 2.522897136504158E-6 10 8.484379853224869
ZNF816 2.531671099136141E-6 10 8.495306278950025
NLRP13 2.532807575949146E-6 11 13.079585992433383
HLA-DRB1 2.536513305964968E-6 9 3.9184529877949474
CATSPERG 2.5425594204178255E-6 11 13.09168043395255
THBS4 2.576095898844058E-6 11 13.13292186854709
TPTE2 2.5822005658416486E-6 10 8.557504075833325
ZNF77 2.5952915870621384E-6 10 8.573419601772581
CGN 2.596637327852183E-6 13 22.323652753126368
LY9 2.6170992127730162E-6 10 8.599755003551449
PITRM1 2.657422905250653E-6 11 13.230745090517129
C6orf165 2.665467663404469E-6 10 8.657391201435964
DCT 2.691515154238585E-6 10 8.687997801864931
CD101 2.6984357182780085E-6 11 13.278947081036684
FUK 2.700421571306636E-6 11 13.281262402593299
TRIM6-TRIM34 2.713151106727E-6 11 13.296063551425048
CAPN9 2.7259045209606585E-6 10 8.72795578645778
PARP4 2.7431972246190743E-6 13 22.49646020428218
CCDC73 2.7823676113622783E-6 11 13.375348363269648
GCKR 2.8126487614938754E-6 10 8.826548744062091
ZNF551 2.8216122891040726E-6 10 8.836562764023
MYO3A 2.856221436541947E-6 13 22.623533303717785
COL21A1 2.876277728877003E-6 11 13.47982179999295
ECT2L 2.9734318449431615E-6 11 13.584373951432234
ZNF599 2.9864011717403157E-6 10 9.015204528917774
