gene_symbol,s_het,s_het_lower95,s_het_upper95,NFE_s_het,NFE_s_het_lower95,NFE_s_het_upper95,rank,quintile,decile,U,N,NFE_N,n,NFE_n
FNDC4,0.09649235,0.015,0.433,0.05651,0,1,3078,1,2,6.13E-07,112153.61,64736,1,0
MKX,0.096484407,0.019,0.374,0.06452,0,0,3079,1,2,7.89E-07,107825.6329,66720,1,1
HOXC10,0.096470706,0.015,0.433,0.05649,0,1,3080,1,2,6.01E-07,114361.1806,66172,1,0
MAGOH,0.096461279,0.015,0.433,0.05649,0,0,3081,1,2,6.10E-07,112660.2517,66438,1,1
HSPA14,0.096393269,0.026,0.313,0.0726,0,0,3082,1,2,1.58E-06,101381.521,62606,2,2
CLDND1,0.096381412,0.019,0.374,0.06444,0,1,3083,1,2,7.78E-07,109190.8271,65858,1,0
PTPN2,0.096357275,0.026,0.313,0.07257,0,0,3084,1,2,1.57E-06,101982.5421,66680,2,2
PRELID1,0.096281532,0.019,0.374,0.06436,0,1,3085,1,2,8.53E-07,99449.35802,64730,1,0
HIAT1,0.096262188,0.026,0.313,0.0725,0,0,3086,1,2,1.45E-06,110294.574,66709,2,2
TSC2,0.096255459,0.041,0.221,0.08474,0,1,3087,1,2,4.17E-06,105977.2339,65389,5,1
RBM7,0.096193555,0.015,0.432,0.05631,0,0,3088,1,2,6.12E-07,111906.3361,66740,1,1
GABRB1,0.096162333,0.026,0.312,0.07242,0,1,3089,1,2,1.45E-06,110160.2836,66423,2,0
FBXO41,0.096117979,0.026,0.312,0.07238,0,0,3090,1,2,1.94E-06,82291.71728,64845,2,1
LIN28B,0.096040963,0.015,0.431,0.05621,0,0,3091,1,2,5.81E-07,117645.7907,66716,1,1
SPPL3,0.096038106,0.019,0.373,0.06417,0,0,3092,1,2,8.41E-07,100520.4028,65790,1,1
SDC1,0.096033983,0.015,0.431,0.0562,0,0,3093,1,2,6.08E-07,112411.2733,64768,1,1
GNAI2,0.096030572,0.015,0.431,0.0562,0,1,3094,1,2,6.73E-07,101549.8498,63592,1,0
BAZ1B,0.096017977,0.041,0.22,0.08453,0,0,3095,1,2,3.73E-06,118170.1148,64380.5,5,2
FBXO22,0.095982636,0.019,0.373,0.06413,0,0,3096,1,2,7.88E-07,107196.7203,66526,1,1
MLXIP,0.095958438,0.026,0.312,0.07226,0,0,3097,1,2,1.68E-06,94842.21896,61784,2,1
YWHAB,0.095946287,0.015,0.431,0.05615,0,0,3098,1,2,5.71E-07,119560.0667,63800,1,1
SAV1,0.095922497,0.026,0.312,0.07223,0,1,3099,1,2,1.44E-06,110600.6113,63472,2,0
TRIM11,0.095853326,0.019,0.372,0.06403,0,1,3100,1,2,8.55E-07,98614.87536,29186,1,0
NPY1R,0.095845859,0.015,0.43,0.05608,0,1,3101,1,2,5.79E-07,117755.354,66730,1,0
C7orf55-LUC7L2,0.095833379,0.026,0.311,0.07216,0,0,3102,1,2,1.58E-06,100690.6409,66542,2,2
SGIP1,0.09583147,0.032,0.266,0.07824,0,1,3103,1,2,2.30E-06,109179.9595,66132,3,0
AKT1,0.095740705,0.026,0.311,0.07208,0,0,3104,1,2,1.45E-06,109593.5503,65695,2,1
MTFR1L,0.095684397,0.015,0.43,0.05597,0,0,3105,1,2,6.26E-07,108687.2203,66708,1,1
MAPRE3,0.095570345,0.015,0.429,0.0559,0,0,3106,1,2,6.18E-07,109931.7611,66670,1,1
TNMD,0.095549517,0.019,0.371,0.0638,0,1,3107,1,2,1.09E-06,77019.4359,39319,1,0
TUBA1C,0.095543419,0.019,0.371,0.06379,0,1,3108,1,2,7.56E-07,111036.8696,66740,1,0
MAML3,0.09543203,0.032,0.265,0.0779,0,0,3109,1,2,2.30E-06,108677.615,62890.6667,3,3
SIX6,0.095421087,0.018,0.371,0.0637,0,1,3110,1,2,7.70E-07,108827.5646,62964,1,0
FAM193A,0.095399539,0.032,0.265,0.07787,0,1,3111,1,2,2.21E-06,113060.8871,65728.6667,3,0
SOX6,0.095389437,0.032,0.265,0.07787,0,0,3112,1,2,2.18E-06,114603.3702,66624,3,2
TGIF2-C20orf24,0.095383903,0.015,0.429,0.05578,0,0,3113,1,2,5.84E-07,116051.0621,64424,1,1
FLRT1,0.095382089,0.015,0.429,0.05577,0,0,3114,1,2,5.86E-07,115652.2616,65602,1,1
EGR1,0.095275247,0.015,0.428,0.0557,0,0,3115,1,2,6.03E-07,112235.9498,66712,1,1
RAB5A,0.095254448,0.015,0.428,0.05569,0,0,3116,1,2,6.26E-07,108083.0553,66652,1,1
WDR82,0.095207289,0.018,0.37,0.06353,0,0,3117,1,2,7.66E-07,109061.5041,66696,1,1
IL6ST,0.095117004,0.032,0.264,0.07764,0,0,3118,1,2,2.20E-06,113203.5069,56061.3333,3,1
MYRF,0.095097204,0.032,0.264,0.07762,0,0,3119,1,2,2.65E-06,93958.67251,66195,3,3
RRAGB,0.095051441,0.018,0.37,0.06341,0,1,3120,1,2,1.24E-06,67221.42222,39382,1,0
SKIL,0.095047544,0.027,0.298,0.07303,0,0,3121,1,2,1.43E-06,118099.1832,66726,2,1
MAP3K3,0.095027093,0.032,0.264,0.07756,0,0,3122,1,2,2.17E-06,114648.7701,66694,3,2
TCERG1,0.094990864,0.04,0.218,0.08362,0,0,3123,1,2,3.80E-06,114684.3918,66516.4,5,2
CALN1,0.094976661,0.018,0.369,0.06336,0,0,3124,1,2,7.79E-07,106887.1597,66710,1,1
XKR6,0.09485078,0.026,0.309,0.07138,0,0,3125,1,2,1.59E-06,98854.36322,66454,2,2
WDR33,0.094807396,0.043,0.204,0.08516,0,0,3126,1,2,4.84E-06,109312.7363,66544.6667,6,5
TMEM63B,0.094805311,0.032,0.264,0.07738,0,0,3127,1,2,2.18E-06,113828.8604,62426,3,3
CHUK,0.094804174,0.032,0.264,0.07738,0,0,3128,1,2,2.16E-06,114881.3103,66594,3,2
CMAS,0.094761051,0.026,0.308,0.0713,0,1,3129,1,2,1.48E-06,106083.754,66338,2,0
NOS1,0.094741709,0.04,0.217,0.08339,0,0,3130,1,2,3.85E-06,112881.74,65035.6,5,4
CBX7,0.094740915,0.018,0.369,0.06318,0,1,3131,1,2,8.39E-07,98907.31193,65444,1,0
P2RY1,0.094726366,0.015,0.426,0.05534,0,1,3132,1,2,5.67E-07,118511.6237,66736,1,0
BCL3,0.094707437,0.018,0.369,0.06315,0,0,3133,1,2,9.92E-07,83612.12698,33434,1,1
PSME4,0.0945627,0.048,0.185,0.08718,0,0,3134,1,2,6.22E-06,115115.9353,65970.5714,8,6
ZNF346,0.094423787,0.015,0.425,0.05514,0,0,3135,1,2,6.43E-07,104091.1333,60966,1,1
PTCH1,0.094386245,0.037,0.235,0.08067,0,0,3136,1,2,3.01E-06,112793.9075,66664,4,4
ACTC1,0.094377303,0.015,0.425,0.05511,0,1,3137,1,2,5.70E-07,117350.5837,65220,1,0
PTOV1,0.094362114,0.026,0.307,0.07099,0,0,3138,1,2,1.49E-06,104851.3957,47360,2,1
ASAP2,0.094323376,0.036,0.235,0.08061,0,0,3139,1,2,3.00E-06,113089.0563,53583.3333,4,1
PRKRIR,0.094275244,0.026,0.307,0.07092,0,1,3140,1,2,1.59E-06,98150.8306,65897,2,0
SPDEF,0.094193297,0.015,0.424,0.05499,0,0,3141,1,2,6.49E-07,102817.4323,65928,1,1
NCK2,0.094190028,0.015,0.424,0.05499,0,0,3142,1,2,6.22E-07,107275.9612,65964,1,1
PTP4A2,0.094186865,0.015,0.424,0.05499,0,0,3143,1,2,6.11E-07,109202.7429,66718,1,1
PIM1,0.09417575,0.018,0.367,0.06274,0,1,3144,1,2,7.65E-07,107593.0162,66530,1,0
UBE2G1,0.094161119,0.015,0.424,0.05497,0,1,3145,1,2,6.28E-07,106210.6869,66270,1,0
MGAT3,0.094058315,0.018,0.367,0.06265,0,0,3146,1,2,8.36E-07,98287.9078,65352,1,1
SLC7A3,0.09397458,0.018,0.366,0.06259,0,1,3147,1,2,1.13E-06,72627.37363,45147,1,0
PDE10A,0.093974417,0.032,0.261,0.07668,0,0,3148,1,2,2.13E-06,115374.3674,66465,3,3
GAS2L1,0.093971923,0.015,0.423,0.05484,0,0,3149,1,2,6.84E-07,97272.72686,53408,1,1
HERC2,0.093948107,0.057,0.155,0.08991,0,0,3150,1,2,1.19E-05,114951.338,65859,15,9
SLIT1,0.093930929,0.04,0.215,0.08267,0,0,3151,1,2,3.97E-06,108481.5518,66319.2,5,2
PRICKLE2,0.093918895,0.032,0.261,0.07663,0,0,3152,1,2,2.07E-06,118641.1373,66559.3333,3,1
SLC39A8,0.093911043,0.018,0.366,0.06254,0,0,3153,1,2,7.79E-07,105254.5069,66280,1,1
SENP1,0.093874068,0.032,0.261,0.0766,0,0,3154,1,2,2.38E-06,103133.5223,62290,3,1
ATF3,0.093802354,0.015,0.422,0.05473,0,0,3155,1,2,5.60E-07,118546.5198,66664,1,1
TSPAN14,0.093765979,0.018,0.366,0.06243,0,0,3156,1,2,7.46E-07,109679.0458,61658,1,1
PTGER3,0.093735517,0.018,0.366,0.0624,0,0,3157,1,2,8.11E-07,100843.7949,12212,1,1
DLGAP1,0.093714458,0.032,0.261,0.07646,0,0,3158,1,2,2.20E-06,111362.3663,65967.3333,3,1
ALCAM,0.093555319,0.026,0.294,0.07181,0,0,3159,1,2,1.40E-06,118404.0916,64177,2,1
SLC25A28,0.093423777,0.018,0.365,0.06216,0,0,3160,1,2,7.61E-07,106982.4103,66738,1,1
NPAS1,0.093351442,0.018,0.364,0.06211,0,0,3161,1,2,9.85E-07,82566.16036,16280,1,1
HIF1A,0.093340412,0.031,0.26,0.07615,0,0,3162,1,2,2.19E-06,111378.184,66574.6667,3,3
OPN3,0.093291419,0.018,0.364,0.06206,0,1,3163,1,2,8.06E-07,100814.3566,66380,1,0
CCDC117,0.093252797,0.015,0.42,0.05437,0,0,3164,1,2,5.67E-07,116235.0784,66174,1,1
HHIP,0.093045627,0.026,0.293,0.07139,0,0,3165,1,2,1.41E-06,116811.3659,66571,2,2
C15orf59,0.093030316,0.015,0.419,0.05422,0,0,3166,1,2,5.60E-07,117340.8475,66488,1,1
UNC5D,0.092950142,0.031,0.259,0.07582,0,0,3167,1,2,2.09E-06,116168.8994,66716.6667,3,2
ZBTB14,0.09292885,0.015,0.419,0.05416,0,0,3168,1,2,5.66E-07,115940.3704,66732,1,1
EIF3J,0.09292648,0.018,0.363,0.06178,0,0,3169,1,2,7.44E-07,108633.437,66524,1,1
ZIC1,0.092857674,0.018,0.363,0.06173,0,1,3170,1,2,7.58E-07,106519.3896,64942,1,0
SLC25A36,0.092856119,0.018,0.363,0.06173,0,0,3171,1,2,8.50E-07,94988.0625,66684,1,1
CDH20,0.092811402,0.026,0.292,0.0712,0,0,3172,1,2,1.43E-06,114836.7704,65175,2,1
KCNQ4,0.092789901,0.025,0.302,0.06974,0,0,3173,1,2,1.60E-06,95736.79522,55728,2,2
GGPS1,0.092714717,0.015,0.418,0.05402,0,1,3174,1,2,5.58E-07,117267.5647,66628,1,0
CLEC2D,0.092677307,0.015,0.418,0.05399,0,1,3175,1,2,5.88E-07,111229,66680,1,0
SLC7A6OS,0.092565554,0.018,0.362,0.06151,0,1,3176,1,2,7.49E-07,107337.2632,66740,1,0
CD47,0.092484339,0.018,0.362,0.06145,0,1,3177,1,2,7.98E-07,100625.9007,64852,1,0
HSPE1-MOB4,0.092410817,0.018,0.361,0.06139,0,1,3178,1,2,7.58E-07,105821.1913,66718,1,0
JAKMIP2,0.092402196,0.036,0.23,0.07895,0,0,3179,1,2,2.91E-06,114042.5523,65936,4,3
SSBP4,0.092294564,0.025,0.301,0.06935,0,0,3180,1,2,1.68E-06,90607.17009,63571,2,2
DOCK3,0.092273076,0.045,0.189,0.08411,0,0,3181,1,2,6.11E-06,99209.49536,61409.4286,7,5
TAB3,0.092200404,0.025,0.301,0.06927,0,0,3182,1,2,1.97E-06,77176.59231,45848.5,2,1
PPP2R5A,0.0921922,0.025,0.301,0.06926,0,1,3183,1,2,1.47E-06,103416.3389,64618,2,0
HLA-DRA,0.092090012,0.015,0.416,0.05361,0,0,3184,1,2,5.57E-07,116500.1078,63386,1,1
TMEM182,0.092084445,0.015,0.415,0.0536,0,0,3185,1,2,5.57E-07,116491.4009,66622,1,1
MARCH1,0.09205933,0.018,0.36,0.06112,0,0,3186,1,2,8.26E-07,96606.40909,66476,1,1
BDNF,0.092003409,0.018,0.36,0.06108,0,0,3187,1,2,7.64E-07,104359.7322,42788,1,1
COX4I1,0.091913549,0.015,0.415,0.05349,0,1,3188,1,2,5.82E-07,111231.722,66672,1,0
KCNC1,0.0919116,0.018,0.36,0.06101,0,1,3189,1,2,8.60E-07,92584.20657,64278,1,0
CCR7,0.09190735,0.015,0.415,0.05349,0,1,3190,1,2,5.38E-07,120318.7074,66722,1,0
XYLT1,0.091872704,0.031,0.256,0.07492,0,0,3191,1,2,2.10E-06,114137.8655,65762,3,2
SRPK2,0.091796962,0.031,0.256,0.07486,0,0,3192,1,2,2.25E-06,106431.783,61098.6667,3,3
C1GALT1,0.091709926,0.015,0.414,0.05336,0,0,3193,1,2,5.71E-07,113064.1067,66566,1,1
RUNDC3A,0.09167848,0.018,0.359,0.06083,0,0,3194,1,2,9.74E-07,81465.41791,8346,1,1
ACTL9,0.091667565,0.015,0.414,0.05333,0,1,3195,1,2,5.63E-07,114605.226,62018,1,0
KCNIP3,0.09153307,0.015,0.413,0.05324,0,1,3196,1,2,6.43E-07,100164.439,65554,1,0
CHIC2,0.09148973,0.015,0.413,0.05321,0,0,3197,1,2,6.21E-07,103652.2361,66644,1,1
KLK13,0.091459864,0.015,0.413,0.05319,0,0,3198,1,2,6.32E-07,101807.0657,65144,1,1
RPL11,0.091430798,0.015,0.413,0.05317,0,0,3199,1,2,5.63E-07,114239.4133,66648,1,1
SF3B3,0.091428406,0.039,0.21,0.08045,0,0,3200,2,3,3.57E-06,117248.6934,66699.6,5,5
DAB2,0.09134456,0.026,0.288,0.07001,0,0,3201,2,3,1.36E-06,118507.6725,66004,2,1
ASNA1,0.091335015,0.015,0.412,0.05311,0,0,3202,2,3,5.79E-07,110938.7092,32176,1,1
TMED10,0.091294353,0.015,0.412,0.05308,0,0,3203,2,3,5.40E-07,118885.4941,66736,1,1
PITX2,0.091276347,0.015,0.412,0.05307,0,1,3204,2,3,6.43E-07,99817.28777,31386,1,0
INTS2,0.091275539,0.035,0.228,0.07797,0,0,3205,2,3,3.40E-06,96331.88525,57948.5,4,3
VWC2L,0.091172249,0.015,0.412,0.053,0,1,3206,2,3,5.40E-07,118688.9839,66476,1,0
RBMS1,0.09108124,0.025,0.287,0.06979,0,0,3207,2,3,1.41E-06,113918.2926,66622,2,1
STMN1,0.091017643,0.014,0.411,0.0529,0,1,3208,2,3,6.27E-07,102005.9692,66700,1,0
APOBEC3H,0.091015941,0.014,0.411,0.0529,0,0,3209,2,3,5.62E-07,113801.1826,65854,1,1
PDK3,0.090979252,0.017,0.357,0.0603,0,1,3210,2,3,1.11E-06,70742.18994,46489,1,0
USP46,0.090968525,0.017,0.357,0.06029,0,0,3211,2,3,9.23E-07,85060.90749,65050,1,1
KIAA1644,0.090932383,0.014,0.411,0.05285,0,1,3212,2,3,5.35E-07,119408.7901,65560,1,0
MDGA1,0.090905382,0.031,0.253,0.07411,0,0,3213,2,3,2.44E-06,97093.00815,40028,3,3
ATF7IP,0.090883584,0.035,0.227,0.07763,0,0,3214,2,3,2.79E-06,116853.4875,65787.3333,4,3
FAM46A,0.090838489,0.014,0.41,0.05279,0,0,3215,2,3,6.73E-07,94802.65272,10786,1,0
RPSA,0.090743581,0.014,0.41,0.05272,0,1,3216,2,3,5.87E-07,108551.6364,66584,1,0
RUFY3,0.090722844,0.031,0.253,0.07396,0,1,3217,2,3,2.08E-06,113645.3127,65976.6667,3,0
AP1G1,0.090720373,0.035,0.226,0.07749,0,1,3218,2,3,3.06E-06,106337.8427,65064,4,0
MIP,0.090619294,0.014,0.41,0.05264,0,1,3219,2,3,5.42E-07,117365.2596,66604,1,0
GABPA,0.090597701,0.025,0.286,0.0694,0,0,3220,2,3,1.42E-06,112411.1016,66304,2,1
ZNF707,0.090558553,0.014,0.409,0.0526,0,1,3221,2,3,6.93E-07,91716.13483,65318,1,0
MFAP1,0.09053226,0.03,0.252,0.0738,0,0,3222,2,3,1.97E-06,119712.9789,66727.3333,3,3
MALT1,0.090440337,0.03,0.252,0.07372,0,0,3223,2,3,2.06E-06,114354.5923,65269.3333,3,3
NCOA5,0.09039063,0.03,0.252,0.07368,0,0,3224,2,3,1.99E-06,118305.3552,66608.6667,3,3
SH2B1,0.090249777,0.024,0.295,0.06773,0,0,3225,2,3,1.44E-06,102966.7521,65877,2,1
RRS1,0.090249635,0.014,0.408,0.0524,0,1,3226,2,3,6.25E-07,101266.335,65400,1,0
ARFGEF2,0.090236546,0.044,0.185,0.08224,0,0,3227,2,3,5.09E-06,116366.6439,66284.6667,7,2
PTHLH,0.090211923,0.014,0.408,0.05238,0,0,3228,2,3,6.59E-07,95992.08,61438,1,1
CSH2,0.090150147,0.014,0.408,0.05234,0,0,3229,2,3,5.37E-07,117700.6667,66732,1,1
SOX7,0.090134636,0.014,0.408,0.05233,0,1,3230,2,3,6.30E-07,100304.4766,62924,1,0
CACNG7,0.090086434,0.014,0.407,0.05229,0,0,3231,2,3,5.50E-07,114818.3028,65890,1,1
RAB40C,0.090060173,0.014,0.407,0.05228,0,0,3232,2,3,6.11E-07,103318.0379,65356,1,1
KCNG1,0.090024485,0.014,0.407,0.05225,0,0,3233,2,3,6.64E-07,95024.7193,66476,1,1
NAA15,0.089947296,0.03,0.251,0.07331,0,0,3234,2,3,2.22E-06,105474.9603,66353.3333,3,3
RHBDD2,0.089923931,0.014,0.407,0.05219,0,1,3235,2,3,6.01E-07,104840.8403,66190,1,0
TUBA1B,0.089908894,0.017,0.354,0.05948,0,1,3236,2,3,7.43E-07,103994.7389,66738,1,0
FCHSD2,0.089890574,0.03,0.251,0.07326,0,0,3237,2,3,2.59E-06,90344.23238,60377,3,3
SMARCD2,0.08975973,0.03,0.25,0.07315,0,0,3238,2,3,2.16E-06,108155.5337,65726,3,2
ANKS1B,0.089717524,0.035,0.224,0.07662,0,0,3239,2,3,3.11E-06,103389.2839,52128,4,3
USP24,0.089715244,0.047,0.17,0.08343,0,0,3240,2,3,8.55E-06,89788.3566,53244.4444,9,4
SRM,0.08969061,0.017,0.353,0.05931,0,1,3241,2,3,7.86E-07,97980.55892,52964,1,0
BMPR1B,0.089644061,0.025,0.283,0.06862,0,0,3242,2,3,1.37E-06,115075.2584,34691,2,1
PTPRT,0.089624686,0.041,0.193,0.08047,0,0,3243,2,3,4.29E-06,116297.1917,66314.4,6,2
PCDH10,0.089608955,0.03,0.25,0.07302,0,0,3244,2,3,2.02E-06,115437.2305,66264.6667,3,1
RAPGEF5,0.089559636,0.03,0.25,0.07298,0,0,3245,2,3,2.46E-06,94732.38728,48640.6667,3,1
RPS20,0.089549662,0.014,0.405,0.05194,0,1,3246,2,3,6.31E-07,99343.10084,66074,1,0
OVOL1,0.089502562,0.014,0.405,0.05191,0,0,3247,2,3,5.94E-07,105462.5714,27822,1,1
PRKAB2,0.089430729,0.014,0.405,0.05186,0,1,3248,2,3,5.96E-07,105004.4639,65952,1,0
TMEM184B,0.089401953,0.017,0.352,0.05909,0,0,3249,2,3,7.84E-07,97800.24468,66240,1,1
GRIA2,0.089356191,0.03,0.249,0.07281,0,0,3250,2,3,2.05E-06,113394.112,64160.6667,3,2
HSP90B1,0.089354982,0.03,0.249,0.07281,0,0,3251,2,3,2.14E-06,108623.5796,61959.3333,3,1
KIF4A,0.089346836,0.035,0.223,0.0763,0,0,3252,2,3,4.03E-06,79433.58427,46653.3333,4,4
C11orf58,0.089252826,0.014,0.404,0.05175,0,0,3253,2,3,5.29E-07,118013.0469,65924,1,1
TIPARP,0.089167043,0.025,0.282,0.06823,0,0,3254,2,3,1.37E-06,114357.0442,63965,2,1
ZFP36,0.089155033,0.014,0.404,0.05168,0,1,3255,2,3,5.83E-07,106937.2481,64792,1,0
FBLN1,0.089152749,0.03,0.249,0.07264,0,0,3256,2,3,2.09E-06,110944.666,58274,3,1
USP33,0.089027804,0.034,0.222,0.07602,0,0,3257,2,3,2.74E-06,116384.2181,66434,4,2
EGR2,0.08901883,0.014,0.403,0.0516,0,0,3258,2,3,5.47E-07,113760.1202,66730,1,1
SLC16A3,0.089008536,0.014,0.403,0.05159,0,1,3259,2,3,6.21E-07,100189.8506,65536,1,0
REPS2,0.088976057,0.024,0.291,0.06672,0,0,3260,2,3,1.82E-06,80121.55496,38852.5,2,1
USP49,0.088909844,0.025,0.281,0.06802,0,0,3261,2,3,1.41E-06,110736.9614,66561,2,2
VANGL2,0.088905486,0.025,0.281,0.06802,0,0,3262,2,3,1.33E-06,117391.0795,66476,2,1
KALRN,0.088771503,0.041,0.191,0.0797,0,0,3263,2,3,4.36E-06,113293.3357,63062.3333,6,3
HYOU1,0.088728451,0.034,0.221,0.07576,0,1,3264,2,3,2.75E-06,115543.2876,66584.5,4,0
TADA2B,0.088725838,0.017,0.35,0.05858,0,1,3265,2,3,7.51E-07,101047.8627,66332,1,0
KRT1,0.088717734,0.025,0.281,0.06787,0,0,3266,2,3,1.41E-06,110456.3417,66740,2,1
ZFYVE21,0.088512063,0.014,0.401,0.05126,0,0,3267,2,3,5.93E-07,104198.2067,65212,1,1
RBPMS2,0.088502396,0.014,0.401,0.05126,0,1,3268,2,3,5.75E-07,107445.5691,66624,1,0
SULT2B1,0.088411492,0.017,0.349,0.05834,0,1,3269,2,3,8.26E-07,91429.98792,44766,1,0
IRX2,0.088375773,0.017,0.349,0.05831,0,0,3270,2,3,7.65E-07,98666.19429,61134,1,1
ACVR2A,0.088293436,0.025,0.28,0.06752,0,0,3271,2,3,1.30E-06,119130.9486,66624,2,1
DNAJC13,0.088280464,0.047,0.167,0.08209,0,0,3272,2,3,6.47E-06,116704.6822,64342.25,9,4
WNT3A,0.088252308,0.017,0.348,0.05822,0,0,3273,2,3,7.60E-07,99126.49492,55886,1,1
UPRT,0.088238917,0.017,0.348,0.05821,0,1,3274,2,3,9.71E-07,77570.10884,45996,1,0
CDC25A,0.088233547,0.025,0.279,0.06747,0,0,3275,2,3,1.38E-06,112135.5485,66394,2,1
MECP2,0.088203373,0.017,0.348,0.05818,0,0,3276,2,3,9.18E-07,82003.57277,44599,1,1
ADAM17,0.08819831,0.03,0.246,0.07184,0,0,3277,2,3,2.09E-06,109635.7028,62452,3,1
GABRG2,0.088162837,0.025,0.279,0.06742,0,0,3278,2,3,1.38E-06,112030.1799,66533,2,1
IGFBP4,0.088129328,0.017,0.348,0.05813,0,0,3279,2,3,7.36E-07,102164.7733,66276,1,1
RAB5C,0.088115831,0.017,0.348,0.05812,0,1,3280,2,3,7.90E-07,95161.51807,66254,1,0
TP73,0.088114642,0.024,0.289,0.06604,0,0,3281,2,3,1.53E-06,94227.0082,64847,2,1
UBE2Q1,0.088101271,0.025,0.279,0.06737,0,0,3282,2,3,1.36E-06,113584.6082,66267,2,1
NR6A1,0.088074496,0.025,0.279,0.06734,0,0,3283,2,3,1.39E-06,111093.5405,66266,2,2
SYAP1,0.088001489,0.017,0.347,0.05803,0,1,3284,2,3,9.63E-07,77928.19231,47752,1,0
PREP,0.087973076,0.03,0.246,0.07166,0,0,3285,2,3,1.96E-06,116578.3295,66545.3333,3,2
IPPK,0.087959149,0.024,0.279,0.06725,0,0,3286,2,3,1.38E-06,111726.7627,64084,2,1
H2AFY,0.087899471,0.014,0.399,0.05087,0,0,3287,2,3,5.44E-07,112613.6955,54038,1,1
VASH2,0.087897663,0.017,0.347,0.05795,0,0,3288,2,3,7.61E-07,98455.14599,54926,1,1
IMPAD1,0.087844988,0.014,0.398,0.05083,0,0,3289,2,3,5.79E-07,105725.3279,41856,1,1
HS6ST3,0.087835662,0.017,0.347,0.0579,0,1,3290,2,3,7.94E-07,94272.6,65300,1,0
CUX2,0.087826545,0.034,0.219,0.07498,0,0,3291,2,3,3.17E-06,99143.56341,52670,4,3
CCDC6,0.087726638,0.024,0.278,0.06706,0,0,3292,2,3,1.36E-06,113018.5528,66598,2,2
STT3B,0.087676067,0.029,0.245,0.07141,0,0,3293,2,3,2.09E-06,108920.1707,66538,3,2
DNAJB9,0.087672701,0.014,0.398,0.05072,0,1,3294,2,3,5.35E-07,114143.4629,66714,1,0
CHMP6,0.087664641,0.014,0.398,0.05071,0,0,3295,2,3,6.78E-07,90058.73373,50208,1,1
PURB,0.087631213,0.014,0.398,0.05069,0,0,3296,2,3,6.50E-07,93893.95946,60738,1,1
MEOX2,0.087528565,0.014,0.397,0.05062,0,1,3297,2,3,6.25E-07,97508.50622,54554,1,0
UBFD1,0.087525851,0.014,0.397,0.05062,0,0,3298,2,3,7.34E-07,83025.18129,65116,1,1
PHF20L1,0.087503566,0.034,0.219,0.0747,0,0,3299,2,3,2.86E-06,109457.041,53001.3333,4,1
MIER1,0.087490119,0.029,0.244,0.07125,0,0,3300,2,3,2.01E-06,112990.5169,66252.6667,3,1
ZC3H8,0.087477504,0.017,0.346,0.05763,0,0,3301,2,3,8.21E-07,90666.70531,66686,1,1
PELO,0.087324805,0.014,0.396,0.05049,0,1,3302,2,3,5.20E-07,116860.9652,66572,1,0
DHH,0.087307335,0.014,0.396,0.05048,0,0,3303,2,3,6.77E-07,89738.09852,14198,1,0
LMNB1,0.087293016,0.024,0.277,0.06671,0,0,3304,2,3,1.38E-06,110735.5806,63834,2,2
TAOK2,0.087272861,0.034,0.218,0.0745,0,0,3305,2,3,2.83E-06,110304.9793,62860.5,4,1
FBXO5,0.087114363,0.024,0.276,0.06656,0,0,3306,2,3,1.36E-06,112094.5975,66728,2,2
ATF2,0.087066683,0.024,0.276,0.06653,0,1,3307,2,3,1.35E-06,112852.5039,66701,2,0
PSMD14,0.087042445,0.014,0.395,0.05031,0,1,3308,2,3,7.35E-07,82347.22667,63316,1,0
CHST14,0.0870307,0.014,0.395,0.0503,0,1,3309,2,3,5.87E-07,103092.2138,66702,1,0
PPP4R1,0.086968162,0.034,0.217,0.07424,0,0,3310,2,3,2.69E-06,115611.8224,50304.5,4,2
ZNF750,0.086858578,0.024,0.275,0.06636,0,0,3311,2,3,1.26E-06,120574.8292,65210,2,2
MAGEA11,0.086774372,0.014,0.394,0.05013,0,0,3312,2,3,7.08E-07,85162.68449,47142,1,1
TSGA10,0.08677193,0.034,0.217,0.07407,0,0,3313,2,3,2.80E-06,110801.5087,66536.5,4,3
POGK,0.086741337,0.024,0.275,0.06626,0,1,3314,2,3,1.32E-06,114912.1609,66287,2,0
FGF14,0.086731608,0.014,0.394,0.0501,0,0,3315,2,3,5.47E-07,110161.7942,66720,1,1
MCMBP,0.086654428,0.029,0.242,0.07055,0,0,3316,2,3,1.90E-06,118274.0257,66383,3,2
MET,0.086588778,0.037,0.199,0.07615,0,0,3317,2,3,3.46E-06,114234.5179,55724,5,2
GPR12,0.086463484,0.014,0.393,0.04993,0,1,3318,2,3,5.04E-07,119104.4431,61486,1,0
TAGLN3,0.086462884,0.014,0.393,0.04993,0,0,3319,2,3,5.41E-07,110957.7176,66628,1,1
SHE,0.086421094,0.024,0.274,0.066,0,1,3320,2,3,1.37E-06,110239.5817,33703,2,0
RPL10A,0.086400003,0.014,0.393,0.04989,0,1,3321,2,3,5.45E-07,110044.4839,65814,1,0
ZEB1,0.086339724,0.029,0.241,0.07029,0,1,3322,2,3,2.00E-06,111910.6,66560,3,0
SLC17A6,0.086276151,0.024,0.274,0.06588,0,0,3323,2,3,1.28E-06,117759.0433,66683,2,1
CYLD,0.086261275,0.029,0.241,0.07023,0,0,3324,2,3,1.98E-06,112927.8017,66528,3,2
